"","WMSize","DurLevel","TPresent","NT","NSub","curDur","repDur","repWaitTime","WMRP","WMRTTest","Crr","repBias","Exp","gap","Gap","valid","log_RP","log_dur"
"16130",5,4,1,290,9,1.4,1.1977944,0.444344,1,1.174907,1,0.090589152,"Exp6c",5,0.8,1,0.18048186559936,0.336472236621213
"16131",1,1,1,291,9,0.5,0.437868,0.5156024,1,0.5772059,1,0.147190753,"Exp6c",5,1.7,1,-0.825837783889728,-0.693147180559945
"16132",1,3,1,292,9,1.1,0.8299808,1.2063804,-1,2.0000703,1,0.159282112,"Exp6c",5,1.1,1,-0.186352710989175,0.0953101798043249
"16133",3,4,1,293,9,1.4,1.1979506,0.4782945,1,0.9355201,1,0.161931213,"Exp6c",5,0.8,1,0.180612263450735,0.336472236621213
"16134",5,1,2,294,9,0.5,0.6140742,0.7884922,2,0.8408578,1,0.124862271,"Exp6c",5,1.7,1,-0.487639511230856,-0.693147180559945
"16135",3,2,1,295,9,0.8,0.9418841,0.3894997,1,0.7322158,1,0.232063521,"Exp6c",5,1.4,1,-0.0598730480687533,-0.22314355131421
"16136",3,3,2,296,9,1.1,1.0698867,0.3770971,2,0.6430406,1,0.21563867,"Exp6c",5,1.1,1,0.0675527550168334,0.0953101798043249
"16137",5,1,1,297,9,0.5,0.5499867,0.4401695,1,0.8284298,1,0.124862271,"Exp6c",5,1.7,1,-0.597861182866187,-0.693147180559945
"16138",1,4,2,298,9,1.4,1.038113,0.6012934,2,0.4838403,1,0.136686951,"Exp6c",5,0.8,1,0.0374046420169876,0.336472236621213
"16139",1,3,2,299,9,1.1,0.9339847,0.5526064,2,0.457223,1,0.159282112,"Exp6c",5,1.1,1,-0.068295222043784,0.0953101798043249
"16140",3,2,2,300,9,0.8,0.7980036,0.3985256,2,0.6504746,1,0.232063521,"Exp6c",5,1.4,1,-0.225642170264309,-0.22314355131421
"16141",5,1,1,301,9,0.5,0.4300135,0.4156318,1,0.8736764,1,0.124862271,"Exp6c",5,1.7,1,-0.843938675438515,-0.693147180559945
"16142",3,3,2,302,9,1.1,0.7658346,0.9505599,2,0.5499264,1,0.21563867,"Exp6c",5,1.1,1,-0.266789059450064,0.0953101798043249
"16143",5,4,1,303,9,1.4,1.0378006,0.4028496,2,1.2533085,1,0.090589152,"Exp6c",5,0.8,1,0.0371036660974133,0.336472236621213
"16144",1,3,2,304,9,1.1,1.0699639,0.6341499,2,0.6337632,1,0.159282112,"Exp6c",5,1.1,1,0.067624909586908,0.0953101798043249
