WMSize,DurLevel,TPresent,NT,NSub,curDur,phyDur,repVDur,repDur,presentColorDeg,respColorDeg,WMRP
1,1,1,110,15,0.5,0.500041676,0.38000413,0.374013157,5.113814708,5.113814708,1
3,1,2,111,15,0.5,0.500058782,0.64008859,0.629920641,5.131268001,1.396263402,2
1,3,2,112,15,1.1,1.100106555,1.200186362,1.189848285,1.326450232,2.583087293,2
3,1,1,113,15,0.5,0.50006718,0.400015053,0.390000435,0.593411946,0.593411946,1
5,3,1,114,15,1.1,1.100142322,0.86000316,0.854043911,4.834562028,4.834562028,1
5,5,2,115,15,1.7,1.700187606,1.390275513,1.382052672,5.375614096,0.331612558,2
5,2,2,116,15,0.8,0.800088889,1.010198293,0.99786099,1.396263402,3.508111797,2
1,2,2,117,15,0.8,0.80007987,0.940113099,0.933974081,4.118977035,1.884955592,2
1,4,1,118,15,1.4,1.40019109,1.630200383,1.622007711,1.815142422,1.815142422,1
1,2,1,119,15,0.8,0.80023258,0.93011448,0.917918379,4.15388362,4.15388362,1
3,2,2,120,15,0.8,0.800117814,0.688581644,0.677995686,0.872664626,0.942477796,1
5,1,2,121,15,0.5,0.500050696,0.509969694,0.502028947,2.548180708,1.169370599,2
5,4,2,122,15,1.4,1.400156878,0.761438945,0.758014185,0.750491578,5.183627878,1
1,2,1,123,15,0.8,0.800101952,0.820026101,0.80589671,0.802851456,0.802851456,1
1,4,1,124,15,1.4,1.400169007,1.200170811,1.189942835,1.256637061,1.256637061,1
3,1,1,125,15,0.5,0.50008242,0.450000373,0.437879228,5.811946409,5.811946409,1
3,5,2,126,15,1.7,1.700197559,1.410186288,1.398012891,3.839724354,3.089232776,2
1,3,2,127,15,1.1,1.10013548,1.058584045,1.045987353,2.949606436,0.872664626,2
1,4,2,128,15,1.4,1.400178027,1.200256963,1.190030853,5.846852994,4.08407045,2
3,1,2,129,15,0.5,0.5000734,0.541338387,0.534087478,2.809980096,1.762782545,2
1,5,2,130,15,1.7,1.700210933,1.500175725,1.494004362,0.366519143,0.942477796,2
3,5,1,131,15,1.7,1.700284022,1.600209502,1.590079185,3.717551307,3.717551307,1
1,2,2,132,15,0.8,0.800086401,0.860100509,0.854027738,4.415683008,1.972222055,2
1,5,1,133,15,1.7,1.700257585,1.520035493,1.509951207,0.052359878,0.052359878,1
3,2,2,134,15,0.8,0.800122479,0.830109006,0.821869681,4.64257581,6.038839212,2
5,3,1,135,15,1.1,1.100143255,0.838457983,0.821926597,1.954768762,1.954768762,1
1,3,1,136,15,1.1,1.100082295,0.970540338,0.966005865,4.50294947,4.50294947,1
3,4,1,137,15,1.4,1.400175539,1.429014097,1.413867986,2.757620218,2.757620218,1
3,3,2,138,15,1.1,1.100127704,1.020172653,1.014019639,1.239183769,3.089232776,2
5,4,1,139,15,1.4,1.40014848,1.260577735,1.254039992,1.727875959,1.727875959,1
5,3,2,140,15,1.1,1.100142633,0.940133004,0.93400736,2.740166926,1.064650844,2
5,2,2,141,15,0.8,0.80000367,0.880194474,0.869891853,1.832595715,5.183627878,2
5,2,1,142,15,0.8,0.800134609,0.670109018,0.662114154,0.383972435,0.383972435,1
1,1,2,143,15,0.5,0.500045098,0.620096951,0.613880489,5.375614096,3.508111797,2
3,3,1,144,15,1.1,1.100127704,0.990177417,0.982037307,4.869468613,4.869468613,2
