"","Nsub","Exp","model","sig_s","ks","ls","kr","mu_pr","sig_pr2","sig_mn","ls_1","ls_3","ls_5","ks_1","ks_3","ks_5","kr_1","kr_3","kr_5","m_WMCrr_1","se_WMCrr_1","wp_1","sig_post2_1","m_WMCrr_3","se_WMCrr_3","wp_3","sig_post2_3","m_WMCrr_5","se_WMCrr_5","wp_5","sig_post2_5","InP_1","InP_3","InP_5"
"21",6,"Exp1","Exp1",0.28616827230572,0,0,0,0.837042878616436,0.0444867128104302,0.0195460640898966,1,1,1,1,1,1,1,1,1,0.875,0.0304440687945156,0.6479845180757,0.0287944071492771,0.8,0.0368216845381624,0.6479845180757,0.0287944071492771,0.791666666666667,0.0373847277732189,0.6479845180757,0.0287944071492771,0.837042878616436,0.837042878616436,0.837042878616436
"22",6,"Exp2","Exp2",0.308120566915118,0.140352745806672,0.0839740473786043,0,1.29331531093626,0.116262648878164,0.0355089113333628,0.832051905242791,0.832051905242791,0.748077857864187,1.14035274580667,1.28070549161334,1.42105823742002,1,1,1,0.883333333333333,0.0295514888401186,0.487765057192407,0.0561397869930651,0.683333333333333,0.0428214274204997,0.522883775266686,0.0602607263812543,0.666666666666667,0.0433947713860775,0.554661943715908,0.0639954536009581,1.12717641410558,1.02959849315185,0.966554505560981
"23",6,"Exp3","Exp3",0.400604248263462,0,0,0.0293374208170506,0.981192718936117,0.0982437264909716,0.0678331036318915,1,1,1,1,1,1,1.02933742081705,1.0586748416341,1.08801226245115,0.841666666666667,0.033604690736675,0.620859285454697,0.060804208952629,0.575,0.0455063548455876,0.620859285454697,0.060804208952629,0.5,0.046027105672703,0.620859285454697,0.060804208952629,1.02840274216991,1.0773672123052,1.12818578068871
"24",6,"Exp4","Exp4",0.0741665096445511,0.0539027467000013,0.179680377406985,0.0944877298808368,0.70702510506926,0.0984641142925239,0.015168950711326,0.64063924518603,0.64063924518603,0.460958867779045,1.0539027467,1.1078054934,1.1617082401,1.09448772988084,1.18897545976167,1.28346318964251,0.791666666666667,0.0373847277732189,0.2371546173168,0.0229210181724932,0.791666666666667,0.0373847277732189,0.289138633544875,0.0277561555233408,0.7,0.0421845391529786,0.338903107174083,0.0324245724256366,0.873560421999128,0.98837049319844,1.06518404654798
"25",7,"Exp1","Exp1",0.37717996075962,0,0,0,0.693177436813241,0.0855044409869639,0.0341560218399454,1,1,1,1,1,1,1,1,1,0.958333333333333,0.0183948536926662,0.624495416884676,0.0532732743330388,0.9,0.0276162634036218,0.624495416884676,0.0532732743330388,0.808333333333333,0.0362336596607828,0.624495416884676,0.0532732743330388,0.693177436813241,0.693177436813241,0.693177436813241
"26",7,"Exp2","Exp2",0.305667125987963,0.0375218356895947,0.265389948083276,0,1.20937681593419,0.128871517254904,0.15357359128901,0.469220103833448,0.469220103833448,0.203830155750172,1.03752183568959,1.07504367137919,1.11256550706878,1,1,1,0.908333333333333,0.0265626871416717,0.523606754386055,0.0666124106192096,0.658333333333333,0.0436584074407572,0.606235459290678,0.0773537056964504,0.516666666666667,0.0460015279515432,0.668831159678935,0.085527171172284,1.16945343022759,1.15316831000834,1.14552923063452
"27",7,"Exp3","Exp3",0.235195321101888,0,0,0.0323894422560499,0.737304687715894,0.134665801626593,0.0210972709542667,1,1,1,1,1,1,1.03238944225605,1.0647788845121,1.09716832676815,0.875,0.0304440687945156,0.293464819913415,0.0390930290267853,0.808333333333333,0.0362336596607828,0.293464819913415,0.0390930290267853,0.708333333333333,0.0418413704377862,0.293464819913415,0.0390930290267853,0.825562652063068,0.930128654429793,1.05598282599925
"28",7,"Exp4","Exp4",0.00027536590388456,0.0712657536884791,0.0203750556478307,0.055609924918856,1.22450523982875,0.919897236523106,0.0217245669691515,0.959249888704339,0.959249888704339,0.938874833056508,1.07126575368848,1.14253150737696,1.21379726106544,1.05560992491886,1.11121984983771,1.16682977475657,0.841666666666667,0.033604690736675,0.0927419068265945,0.0666112727625587,0.7,0.0421845391529786,0.096003190876082,0.06895545041832,0.55,0.0457963919107184,0.0993253745549937,0.0713487174737578,1.08446483391914,0.942236639705882,0.816763769845886
"29",8,"Exp1","Exp1",0.403120269455477,0,0,0,1.01031851049887,0.218617546349089,0.0332081928048081,1,1,1,1,1,1,1,1,1,0.825,0.0349775720811217,0.428117415066693,0.0927576233658511,0.741666666666667,0.0402938036516246,0.428117415066693,0.0927576233658511,0.608333333333333,0.0449337613747409,0.428117415066693,0.0927576233658511,1.01031851049887,1.01031851049887,1.01031851049887
"30",8,"Exp2","Exp2",0.286059716762037,0.067613616060215,0.207960832724258,0,1.09816831563696,0.202067163484786,0.027374183098492,0.584078334551484,0.584078334551484,0.376117501827226,1.06761361606021,1.13522723212043,1.20284084818064,1,1,1,0.933333333333333,0.0229623546576125,0.369031356132574,0.0729785384450197,0.775,0.0384402118033031,0.440123514707002,0.0871242611858118,0.725,0.0411035196685566,0.50267095304659,0.0996518941747623,0.984369716517794,0.936986783715917,0.914617978315368
