"","curDur","WMSize","NSub","Exp","model","wp","mu_r","sig_r","predY","sig_wm2","log_lik"
"22508",1.28,1,6,"Exp4","Exp4",0.2371546173168,1.18617553060269,0.152117584899682,1.18827292445063,0.0229210181724932,0.461258430262473
"22509",1.29,1,6,"Exp4","Exp4",0.2371546173168,1.19404801340408,0.152110336890423,1.19531479486432,0.0229210181724932,0.465275345988868
"22510",1.3,1,6,"Exp4","Exp4",0.2371546173168,1.20192049620548,0.152103199378094,1.20247280427857,0.0229210181724932,0.466265736798654
"22511",1.31,1,6,"Exp4","Exp4",0.2371546173168,1.20979297900687,0.152096169854522,1.20822585015729,0.0229210181724932,0.467700660725784
"22512",1.32,1,6,"Exp4","Exp4",0.2371546173168,1.21766546180827,0.152089245886886,1.21828981302602,0.0229210181724932,0.472342808566737
"22513",1.33,1,6,"Exp4","Exp4",0.2371546173168,1.22553794460966,0.152082425114911,1.22644165154281,0.0229210181724932,0.460491834109489
"22514",1.34,1,6,"Exp4","Exp4",0.2371546173168,1.23341042741106,0.152075705248184,1.23297295760079,0.0229210181724932,0.45469613389257
"22515",1.35,1,6,"Exp4","Exp4",0.2371546173168,1.24128291021245,0.152069084063584,1.24097680495907,0.0229210181724932,0.458595023425179
"22516",1.36,1,6,"Exp4","Exp4",0.2371546173168,1.24915539301385,0.152062559402832,1.24759836530351,0.0229210181724932,0.475066010309816
"22517",1.37,1,6,"Exp4","Exp4",0.2371546173168,1.25702787581524,0.152056129170142,1.25865211938496,0.0229210181724932,0.472917984859521
"22518",1.38,1,6,"Exp4","Exp4",0.2371546173168,1.26490035861664,0.152049791329975,1.26340644211787,0.0229210181724932,0.475256826144303
"22519",1.39,1,6,"Exp4","Exp4",0.2371546173168,1.27277284141803,0.15204354390489,1.27243398560708,0.0229210181724932,0.465271669067151
"22520",1.4,1,6,"Exp4","Exp4",0.2371546173168,1.28064532421943,0.152037384973486,1.28226277545631,0.0229210181724932,0.4629677800565
"22521",1.41,1,6,"Exp4","Exp4",0.2371546173168,1.28851780702082,0.152031312668427,1.29078770005775,0.0229210181724932,0.468465447255832
"22522",1.42,1,6,"Exp4","Exp4",0.2371546173168,1.29639028982222,0.15202532517456,1.29817286453496,0.0229210181724932,0.459030890642921
"22523",1.43,1,6,"Exp4","Exp4",0.2371546173168,1.30426277262361,0.152019420727097,1.30455603322954,0.0229210181724932,0.469826100569096
"22524",1.44,1,6,"Exp4","Exp4",0.2371546173168,1.31213525542501,0.152013597609885,1.31064528374829,0.0229210181724932,0.463988709977274
"22525",1.45,1,6,"Exp4","Exp4",0.2371546173168,1.3200077382264,0.15200785415374,1.32033157819646,0.0229210181724932,0.466214944488725
"22526",1.46,1,6,"Exp4","Exp4",0.2371546173168,1.3278802210278,0.152002188734852,1.32883477489685,0.0229210181724932,0.470638426371939
"22527",1.47,1,6,"Exp4","Exp4",0.2371546173168,1.33575270382919,0.151996599773252,1.3348566148205,0.0229210181724932,0.45769483864525
"22528",1.48,1,6,"Exp4","Exp4",0.2371546173168,1.34362518663059,0.151991085731341,1.34304819406537,0.0229210181724932,0.463808837915294
"22529",1.49,1,6,"Exp4","Exp4",0.2371546173168,1.35149766943198,0.151985645112485,1.35217831018654,0.0229210181724932,0.466096013039344
"22530",1.5,1,6,"Exp4","Exp4",0.2371546173168,1.35937015223338,0.151980276459651,1.35836027326118,0.0229210181724932,0.471492762370734
"22531",1.51,1,6,"Exp4","Exp4",0.2371546173168,1.36724263503477,0.151974978354112,1.36909713033064,0.0229210181724932,0.478407009126912
"22532",1.52,1,6,"Exp4","Exp4",0.2371546173168,1.37511511783617,0.151969749414193,1.37547744544385,0.0229210181724932,0.47137734623332
"22533",1.53,1,6,"Exp4","Exp4",0.2371546173168,1.38298760063757,0.151964588294073,1.38198869165017,0.0229210181724932,0.471458487849684
"22534",1.54,1,6,"Exp4","Exp4",0.2371546173168,1.39086008343896,0.151959493682622,1.39046417252867,0.0229210181724932,0.463950917379566
"22535",1.55,1,6,"Exp4","Exp4",0.2371546173168,1.39873256624036,0.151954464302299,1.39913209402759,0.0229210181724932,0.461814583565109
"22536",1.56,1,6,"Exp4","Exp4",0.2371546173168,1.40660504904175,0.151949498908078,1.40367491537492,0.0229210181724932,0.464165676013056
"22537",1.57,1,6,"Exp4","Exp4",0.2371546173168,1.41447753184315,0.151944596286418,1.41316169577542,0.0229210181724932,0.459724111902292
"22538",1.58,1,6,"Exp4","Exp4",0.2371546173168,1.42235001464454,0.15193975525428,1.42267843560768,0.0229210181724932,0.466247898911121
"22539",1.59,1,6,"Exp4","Exp4",0.2371546173168,1.43022249744594,0.151934974658171,1.42977501611959,0.0229210181724932,0.460778702160741
"22540",1.6,1,6,"Exp4","Exp4",0.2371546173168,1.43809498024733,0.151930253373225,1.43745296855118,0.0229210181724932,0.46861366375405
"22541",1.61,1,6,"Exp4","Exp4",0.2371546173168,1.44596746304873,0.151925590302326,1.44858424969666,0.0229210181724932,0.460478618087588
"22542",1.62,1,6,"Exp4","Exp4",0.2371546173168,1.45383994585012,0.151920984375252,1.45359219274763,0.0229210181724932,0.48617683528246
"22543",1.63,1,6,"Exp4","Exp4",0.2371546173168,1.46171242865152,0.151916434547859,1.46295568985306,0.0229210181724932,0.47338188496548
"22544",1.64,1,6,"Exp4","Exp4",0.2371546173168,1.46958491145291,0.15191193980129,1.46970392199292,0.0229210181724932,0.464853517554851
"22545",1.65,1,6,"Exp4","Exp4",0.2371546173168,1.47745739425431,0.151907499141215,1.47722179593818,0.0229210181724932,0.475174173726771
"22546",1.66,1,6,"Exp4","Exp4",0.2371546173168,1.4853298770557,0.151903111597098,1.48342939391023,0.0229210181724932,0.475095556033439
"22547",1.67,1,6,"Exp4","Exp4",0.2371546173168,1.4932023598571,0.151898776221485,1.49434093227021,0.0229210181724932,0.471358902811896
"22548",1.68,1,6,"Exp4","Exp4",0.2371546173168,1.50107484265849,0.151894492089328,1.50148983738502,0.0229210181724932,0.461841986906896
"22549",1.69,1,6,"Exp4","Exp4",0.2371546173168,1.50894732545989,0.151890258297321,1.50836409914744,0.0229210181724932,0.47048001625191
"22550",1.7,1,6,"Exp4","Exp4",0.2371546173168,1.51681980826128,0.151886073963271,1.51613167708501,0.0229210181724932,0.467434079652648
"22551",1.71,1,6,"Exp4","Exp4",0.2371546173168,1.52469229106268,0.151881938225477,1.52575496332927,0.0229210181724932,0.462961012304782
"22552",1.72,1,6,"Exp4","Exp4",0.2371546173168,1.53256477386407,0.151877850242145,1.53230279659669,0.0229210181724932,0.47015137813999
"22553",1.73,1,6,"Exp4","Exp4",0.2371546173168,1.54043725666547,0.151873809190813,1.54059324048568,0.0229210181724932,0.465892837652364
"22554",1.74,1,6,"Exp4","Exp4",0.2371546173168,1.54830973946686,0.1518698142678,1.54935713358335,0.0229210181724932,0.468380813350768
