,ks,ls,kr,ts,var_s,mu_log,sigma_log,var_n,mu_p,var_p,Exp,NSub,WMSize,Gap,var_wm,w_p
67,0.05424118965039043,0.05134424359536992,0.04234840576997146,0.0,0.04665530383956608,0.033996776520878916,0.2394682764610594,0.012808865363093464,1.0646746975966341,0.25865497387884284,Both,15,3,0.5,0.05384174769563012,0.17229540017045833
68,0.06272780271793703,0.04944893009362144,0.02059546500057913,0.0,0.09950989613136373,0.07790875055857809,0.09812195559038978,0.010981871670384146,1.086240562750479,0.10684110920969937,Both,12,3,0.5,0.11427186982363374,0.5168030855683379
69,0.06272780271793703,0.04944893009362144,0.02059546500057913,0.0,0.09950989613136373,0.07790875055857809,0.09812195559038978,0.010981871670384146,1.086240562750479,0.10684110920969937,Both,12,1,0.5,0.10443055402878705,0.49429512897290145
70,0.056326812866977716,0.05184208624844533,0.02833801313459081,0.0,0.015397441766711293,0.12565706966817478,0.01985823609273013,0.03567293220766946,1.1341168523968714,0.022523780735796518,Both,8,3,0.5,0.017792148278937076,0.4413180773394773
71,0.07718248448360623,0.03837304197325055,0.019463591789516756,0.0,0.05904236248227631,0.02926774656846774,0.28964614168138764,0.0009766464816321793,1.0738122749545622,0.3176644105083336,Both,7,5,0.5,0.07037053775093763,0.18135103053634882
72,0.06260169375656081,0.04791468090607407,0.02306233567189011,0.0,0.05731603822422482,-0.19652817973730619,0.09259409328815475,0.01357330542699496,0.8251077074522478,0.07656415015026338,Both,1,1,0.5,0.06006231790653889,0.43960968003335965
73,0.06260169375656081,0.04791468090607407,0.02306233567189011,0.0,0.05731603822422482,-0.19652817973730619,0.09259409328815475,0.01357330542699496,0.8251077074522478,0.07656415015026338,Both,1,3,0.5,0.06555487727116704,0.4612674211228235
74,0.06260169375656081,0.04791468090607407,0.02306233567189011,0.0,0.05731603822422482,-0.19652817973730619,0.09259409328815475,0.01357330542699496,0.8251077074522478,0.07656415015026338,Both,1,5,0.5,0.0710474366357952,0.48131341300983427
75,0.0609700376139566,0.044448133729791846,0.019083141485328352,0.0,0.02363714339315631,0.00764045170104735,0.021274591449073472,0.009360153163035683,1.0078977800452593,0.021445039997582536,Both,2,1,0.5,0.02468777030368559,0.535145596863995
76,0.0609700376139566,0.044448133729791846,0.019083141485328352,0.0,0.02363714339315631,0.00764045170104735,0.021274591449073472,0.009360153163035683,1.0078977800452593,0.021445039997582536,Both,2,3,0.5,0.026789024124744144,0.5553963700177607
77,0.0609700376139566,0.044448133729791846,0.019083141485328352,0.0,0.02363714339315631,0.00764045170104735,0.021274591449073472,0.009360153163035683,1.0078977800452593,0.021445039997582536,Both,2,5,0.5,0.0288902779458027,0.5739564013144232
78,0.05032423761123173,0.05897755933132473,0.04296511191916033,0.0,0.10642797700157718,-0.1977616837236298,0.06552458346038383,0.002721350506718755,0.8223288129104215,0.05394064070930472,Both,3,1,0.5,0.11270483932970055,0.6763150089838663
79,0.05032423761123173,0.05897755933132473,0.04296511191916033,0.0,0.10642797700157718,-0.1977616837236298,0.06552458346038383,0.002721350506718755,0.8223288129104215,0.05394064070930472,Both,3,3,0.5,0.1252585639859473,0.6989906244224872
80,0.05032423761123173,0.05897755933132473,0.04296511191916033,0.0,0.10642797700157718,-0.1977616837236298,0.06552458346038383,0.002721350506718755,0.8223288129104215,0.05394064070930472,Both,3,5,0.5,0.13781228864219408,0.7186971751006364
81,0.056326812866977716,0.05184208624844533,0.02833801313459081,0.0,0.015397441766711293,0.12565706966817478,0.01985823609273013,0.03567293220766946,1.1341168523968714,0.022523780735796518,Both,8,1,0.5,0.016195677270786555,0.4182826440399287
82,0.05443634548352593,0.05564846447872498,0.022622307302417637,0.0,0.15818051783815218,-0.11633051539417877,0.06233292678497734,0.005701374459600662,0.8919119888189516,0.0556495310233102,Both,4,1,0.5,0.1669830207662949,0.7500386597737926
