"","NSub","Exp","model","sig_s2","ks","ls","ts","kr","sig_mn2","mu_pr_log","sig_pr2_log","looic","p_loo","elpd_loo","se_looic","se_p_loo","waic","p_waic","se_waic","se_p_waic","elpd_waic","se_waic.1","log_lik_sum","log_lik_mean"
"21",5,"Exp2","Exp2",0.149447052462866,0.0920681860103132,0.343958462560547,0.0195642092602361,0,0.00892733252778806,0.104788777126415,0.177020941901167,886.47035352398,294.853754428948,-443.23517676199,6.38153641534963,2.240296580117,643.570720877468,173.403938105692,4.41808072706453,0.390365518444679,-321.785360438734,4.41808072706453,-201.738359884884,-0.586448720595592
"22",6,"Exp2","Exp2",0.051940258599646,0.244695803611206,0.0491722238161904,0.0068681824916876,0,0.00826684555193302,0.109708168904576,0.070198984107268,514.696653932024,304.020704360728,-257.348326966012,5.63965549682054,2.30263896229529,267.812821645746,180.578788217589,3.33036146541986,0.403731048362964,-133.906410822873,3.33036146541986,-8.98879746492487,-0.0249688818470135
"23",7,"Exp2","Exp2",0.0433081152712232,0.0367032561839873,0.039443896383821,0.00553614849981421,0,0.0488044725285096,0.151499475460383,0.0585313466712915,698.436962594594,302.709441685126,-349.218481297297,4.92554346187672,2.2011302281154,453.134884433786,180.058402604722,2.35683998455291,0.39314651579455,-226.567442216893,2.35683998455291,-101.929229693416,-0.284718518696693
"24",8,"Exp2","Exp2",0.0513783253049452,0.0861651249246133,0.0586614278124242,0.00678854725892563,0,0.00330709088469238,-0.0446726039569567,0.150649816706237,604.621908746626,302.604983127554,-302.310954373313,8.24433161325085,2.12690871388068,359.551459993752,180.069758751117,7.48035857983834,0.398030958677288,-179.775729996876,7.48035857983834,-55.2031480111111,-0.15376921451563
"25",9,"Exp2","Exp2",0.610893647957231,0.515390149096169,0.411705168975791,0.0960037783471921,0,0.0169514782767692,0.0438147490416701,0.0587960342011936,609.581226939202,303.734483681092,-304.790613469601,4.59700623190569,2.17490127506795,360.629226444884,179.258483433932,1.50100857243737,0.379179311358941,-180.314613222442,1.50100857243737,-56.2041774711748,-0.157434670787604
"26",10,"Exp2","Exp2",0.0906076493422924,0.084404553570334,0.130241637133987,0.0119428745586603,0,0.0100374233577265,-0.0712416546799402,0.0738782155699238,537.991739681296,302.070427618398,-268.995869840648,4.86556247073606,2.31586431696726,295.770444720044,180.959780137772,1.95214871840477,0.410284381181487,-147.885222360022,1.95214871840477,-22.7080959585536,-0.0630780443293156
"27",11,"Exp2","Exp2",0.00789488422867995,0.0318949167880627,0.00554651024299331,0.00098916101440849,0,0.00875018362105144,0.381427955635773,0.251292309372236,287.406346926673,303.230092932178,-143.703173463337,8.29213202070516,2.4054057910093,42.3948306304272,180.724334784055,6.81703302706022,0.408545346123168,-21.1974153152136,6.81703302706022,103.732077011942,0.288947289726858
"28",12,"Exp2","Exp2",0.115286110219116,0.245338113042723,0.515035426094087,0.0153924470144323,0,0.0487712570288777,0.119687639809848,0.0673876055536872,779.753969620916,306.310160515482,-389.876984810458,5.29146783266457,2.34243249283947,529.652159872665,181.259255641356,2.71816064056798,0.417315668651325,-264.826079936332,2.71816064056798,-139.36723012111,-0.388209554654902
"29",13,"Exp2","Exp2",0.0574934098178723,0.0780078665036683,0.0781413207728501,0.00747491821239937,0,0.0161405133957406,-0.109943507421442,0.113061851630109,633.214719789036,309.313987431648,-316.607359894518,5.6028139225584,2.35044514112107,378.223725102882,181.818490088571,3.26921314292549,0.3920620054776,-189.111862551441,3.26921314292549,-63.1943068108505,-0.175539741141251
"30",14,"Exp2","Exp2",0.0399167848977447,0.112417077542277,0.014604774640022,0.00485948958069737,0,0.00282857854351648,-0.0873642539827172,0.447074209521199,588.573237439592,306.263309094194,-294.286618719796,12.4946877713169,2.17453118907824,337.840372273382,180.896876511089,12.1082450527725,0.387524183322672,-168.920186136691,12.1082450527725,-43.6746817507071,-0.121656495127318
"31",15,"Exp2","Exp2",0.0151086108948787,0.0291509788987243,0.0294376217154611,0.00190810468624168,0,0.00482656590022239,-0.297806213978754,0.125597711381639,346.585855878973,302.45625537719,-173.292927939486,9.49758179414248,2.1423100337958,102.605958378907,180.466306627158,8.54655244625489,0.384489037744943,-51.3029791894535,8.54655244625489,73.4981277263165,0.204730160797539
"32",16,"Exp2","Exp2",0.0206227443923517,0.0423156087760351,0.0286895998620958,0.00255573239577289,0,0.0256271002540928,0.103317451638208,0.0469048368020566,501.912261536549,302.013116546936,-250.956130768275,4.05071106054329,1.90176496870018,259.630340977311,180.872156267317,1.89786783783569,0.359178463587837,-129.815170488656,1.89786783783569,-4.73103756878428,-0.0131417710244008
"33",1,"Exp3","Exp3",0.0393246588413305,0,0,0.00532562143521174,0.0135705866444699,0.0235033996314397,-0.068772989830397,0.0463100344165266,474.734639596912,302.482784606525,-237.367319798456,4.5793547976788,2.14343220410471,230.838335413647,180.534632514892,1.68328913243622,0.416233580623801,-115.419167706824,1.68328913243622,9.47623772960944,0.0263228825822484
